id,consultant_id,service_type,title,description,prices,price_descriptions,delivery_type,standard_turnaround_hours,duration_minutes,rush_available,rush_turnarounds,max_active_orders,is_active,allows_group_sessions,max_group_size,total_bookings,avg_rating,metadata,created_at,updated_at
c9cd956b-8ba0-462e-bd70-a26eaf2e35aa,7cefd294-6775-497d-a13a-373eea813373,mock_interview,Case Interview Mastery,Case Interview Mastery service description,{120},"{""Standard""}",scheduled,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,17,4.69,{},2025-06-05T18:45:02.695153Z,2025-06-05T18:45:02.695153Z
72b2cb6e-1de2-4522-ad20-cb52ec965971,1684c912-8fc3-4d46-862a-c5e9177530a4,research_help,Research Proposal Writing,Research Proposal Writing service description,{85},"{""Standard""}",async,,60,false,{},5,true,false,1,18,4.86,{},2025-06-06T18:45:02.695162Z,2025-06-06T18:45:02.695162Z
777b9f4e-a9cc-4c77-b575-02bb04d405dc,1684c912-8fc3-4d46-862a-c5e9177530a4,application_help,Graduate School Applications,Graduate School Applications service description,{70},"{""Standard""}",async,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,14,4.83,{},2025-06-07T18:45:02.695169Z,2025-06-07T18:45:02.695169Z
0492c5d1-7d54-4912-bcb0-6f6b44bedd8e,ffd289d6-f731-49ef-980c-8f7cd8798f37,coding_help,Competitive Programming Coaching,Competitive Programming Coaching service description,{80},"{""Standard""}",scheduled,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,true,4,16,4.79,{},2025-06-08T18:45:02.695176Z,2025-06-08T18:45:02.695176Z
b6aff5fd-3b3c-4817-a9f0-3977ad1e3cec,ffd289d6-f731-49ef-980c-8f7cd8798f37,project_help,CS Portfolio Development,CS Portfolio Development service description,{65},"{""Standard""}",async,,60,false,{},5,true,false,1,12,4.77,{},2025-06-09T18:45:02.695183Z,2025-06-09T18:45:02.695183Z
b4c7b9c0-046f-401b-8a61-9ef43ca28ed1,639b801b-e0cd-4231-9139-0eda9cb7e39a,test_prep,LSAT Logic Games Mastery,LSAT Logic Games Mastery service description,{70},"{""Standard""}",async,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,28,4.89,{},2025-06-10T18:45:02.695190Z,2025-06-10T18:45:02.695190Z
9d05edad-fca2-4b74-993a-3691c254e570,639b801b-e0cd-4231-9139-0eda9cb7e39a,essay_review,Law School Personal Statement,Law School Personal Statement service description,{60},"{""Standard""}",async,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,15,4.87,{},2025-06-11T18:45:02.695196Z,2025-06-11T18:45:02.695196Z
cb2b25ba-3ea6-4761-9e1b-8bfc68951d84,639b801b-e0cd-4231-9139-0eda9cb7e39a,mock_interview,Law School Interview Prep,Law School Interview Prep service description,{75},"{""Standard""}",scheduled,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,5,4.85,{},2025-06-12T18:45:02.695202Z,2025-06-12T18:45:02.695202Z
9764ee24-cc2e-4f84-a233-421b4247eddd,751de371-730d-4bd3-9e89-620b5d68d490,portfolio_review,Art Portfolio Review,Art Portfolio Review service description,{45},"{""Standard""}",async,,60,false,{},5,true,false,1,10,4.66,{},2025-06-13T18:45:02.695209Z,2025-06-13T18:45:02.695209Z
4475d337-e61c-4d6e-96ea-19fe98c1a6be,de41442f-3642-4392-bf01-1e8bbec2f50a,application_help,Public Policy Applications,Public Policy Applications service description,{55},"{""Standard""}",async,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,8,4.73,{},2025-06-14T18:45:02.695215Z,2025-06-14T18:45:02.695215Z
9613d823-0e65-443e-b1bb-9e22529009ca,f3189645-f5b7-46ec-858e-45334978f713,writing_help,Journalism Writing Workshop,Journalism Writing Workshop service description,{40},"{""Standard""}",async,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,true,8,15,4.81,{},2025-06-15T18:45:02.695222Z,2025-06-15T18:45:02.695222Z
ef81d6d2-ab06-4d51-938d-0b9dd06a446f,c2ccddbe-8d8b-48af-ac98-a7e300af7cb8,interview_prep,Investment Banking Interview Prep,Investment Banking Interview Prep service description,{110},"{""Standard""}",scheduled,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,5,4.68,{},2025-06-16T18:45:02.695228Z,2025-06-16T18:45:02.695228Z
52495201-724e-4242-8bfb-38d0995490f7,cf427c87-f260-49fb-9ced-d62cd6f78318,business_help,Startup Pitch Deck Review,Startup Pitch Deck Review service description,{95},"{""Standard""}",async,,60,false,{},5,true,false,1,12,4.77,{},2025-06-17T18:45:02.695235Z,2025-06-17T18:45:02.695235Z
58262303-27ea-4b62-bac0-1d9a5fd53a0c,6e4ebdab-dad2-47ed-80b0-a444583756d5,essay_review,Creative Writing Excellence,Creative Writing Excellence service description,{50},"{""Standard""}",async,48,,true,"{""1.5x"": 24, ""2x"": 12, ""3x"": 6}",5,true,false,1,2,4.9,{},2025-06-18T18:45:02.695243Z,2025-06-18T18:45:02.695243Z
